Account,Campaign,Campaign type,Networks,Budget type,Budget,Bid strategy type,Target CPA,Status
789-424-2096,🔴 NOTFALL | Verstopfung JETZT,Search,Google search,Daily,100,Maximize conversions,,Enabled
789-424-2096,🔴 NOTFALL | Toilette Überlauf,Search,Google search,Daily,80,Maximize conversions,,Enabled
789-424-2096,🔴 NOTFALL | Wasser Keller,Search,Google search,Daily,60,Maximize conversions,,Enabled
789-424-2096,🟡 PREIS | Was kostet,Search,Google search,Daily,50,Maximize conversions,,Enabled
789-424-2096,🟡 PREIS | Festpreis sucher,Search,Google search,Daily,40,Maximize conversions,,Enabled
789-424-2096,🔵 DIAGNOSE | Wiederkehrend,Search,Google search,Daily,45,Maximize conversions,,Enabled
789-424-2096,🔵 DIAGNOSE | Kamera Ursache,Search,Google search,Daily,35,Maximize conversions,,Enabled
789-424-2096,🟢 B2B | Hausverwaltung,Search,Google search,Daily,30,Maximize conversions,,Enabled
789-424-2096,🟢 B2B | Gewerbe Gastro,Search,Google search,Daily,25,Maximize conversions,,Enabled
789-424-2096,📍 LOKAL | Nürnberg,Search,Google search,Daily,50,Maximize conversions,,Enabled
789-424-2096,📍 LOKAL | Fürth,Search,Google search,Daily,35,Maximize conversions,,Enabled
789-424-2096,📍 LOKAL | Erlangen,Search,Google search,Daily,35,Maximize conversions,,Enabled
789-424-2096,⚡ KONKURRENZ | Abzocke vermeiden,Search,Google search,Daily,40,Maximize conversions,,Enabled
789-424-2096,⚡ KONKURRENZ | Besser als andere,Search,Google search,Daily,30,Maximize conversions,,Enabled
789-424-2096,🏠 SITUATION | Mieter Probleme,Search,Google search,Daily,25,Maximize conversions,,Enabled
789-424-2096,🏠 SITUATION | Hausbesitzer,Search,Google search,Daily,25,Maximize conversions,,Enabled
789-424-2096,🎯 MICRO | Dusche Badewanne,Search,Google search,Daily,30,Maximize conversions,,Enabled
789-424-2096,🎯 MICRO | Küche Spüle,Search,Google search,Daily,30,Maximize conversions,,Enabled
789-424-2096,🎯 MICRO | Geruch Kanal,Search,Google search,Daily,25,Maximize conversions,,Enabled
789-424-2096,🔧 SERVICE | Wartung Vorsorge,Search,Google search,Daily,20,Maximize conversions,,Enabled
